,0
0,Connecticut
1,Delaware
2,Florida
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,North Carolina
22,North Dakota
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Texas
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
